Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-002348@CP
Wafer number	01
Date	2024/10/23
Time	00:23:52

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
147	17	13	1	1.28000E-002	-1.00000E-004	-8.00000E-004	8.62000E-008	4.00000E-010	2.86600E-007	3.36500E+000	7.19172E+002	7.20628E+002	1.45660E+000	1.22920E-001	6.92500E-001	5.38000E-011	1.19400E-010	1.32100E-007
151	19	13	1	1.28000E-002	-1.00000E-004	-7.00000E-004	8.40000E-008	4.00000E-010	2.59700E-007	3.34310E+000	7.29622E+002	7.31191E+002	1.56850E+000	1.23410E-001	6.91700E-001	1.64000E-011	3.98000E-010	1.30500E-007
155	21	13	1	1.28000E-002	-2.00000E-004	-8.00000E-004	8.20000E-008	3.00000E-010	3.96400E-007	3.34690E+000	7.39221E+002	7.40842E+002	1.62040E+000	1.25386E-001	6.91400E-001	5.38000E-011	9.37000E-011	1.93000E-007
159	23	13	1	1.29000E-002	-2.00000E-004	-8.00000E-004	7.47000E-008	5.00000E-010	4.99100E-007	3.38730E+000	7.45513E+002	7.46952E+002	1.43850E+000	1.28463E-001	6.93200E-001	9.60000E-011	2.83300E-010	2.35300E-007
163	25	13	1	1.27000E-002	-2.00000E-004	-7.00000E-004	6.05000E-008	4.00000E-010	4.98100E-007	3.37660E+000	7.46286E+002	7.47616E+002	1.33040E+000	1.29150E-001	6.93500E-001	6.32000E-011	4.07400E-010	2.35600E-007
167	27	13	1	1.27000E-002	-1.00000E-004	-7.00000E-004	5.14000E-008	3.00000E-010	3.77300E-007	3.38650E+000	7.36681E+002	7.38378E+002	1.69730E+000	1.25438E-001	6.90200E-001	3.75000E-011	1.26400E-010	1.86200E-007
171	27	15	1	1.28000E-002	-3.00000E-004	-7.00000E-004	4.98000E-008	5.00000E-010	3.90700E-007	3.37770E+000	7.36725E+002	7.38533E+002	1.80770E+000	1.25054E-001	6.90100E-001	2.34000E-011	1.70900E-010	1.92000E-007
175	25	15	1	1.28000E-002	-2.00000E-004	-7.00000E-004	6.03000E-008	5.00000E-010	5.04200E-007	3.35810E+000	7.47102E+002	7.48574E+002	1.47190E+000	1.30111E-001	6.93400E-001	1.63900E-010	2.73900E-010	2.41100E-007
179	23	15	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.42000E-008	4.00000E-010	4.87000E-007	3.38230E+000	7.45678E+002	7.47106E+002	1.42820E+000	1.28565E-001	6.93200E-001	0.00000E+000	2.58000E-011	2.32600E-007
183	21	15	1	1.28000E-002	-2.00000E-004	-8.00000E-004	7.98000E-008	3.00000E-010	4.52200E-007	3.35820E+000	7.39314E+002	7.40724E+002	1.40920E+000	1.24818E-001	6.92200E-001	7.26000E-011	2.43500E-010	2.15200E-007
187	19	15	1	1.27000E-002	-1.00000E-004	-7.00000E-004	8.36000E-008	6.00000E-010	2.70900E-007	3.34330E+000	7.28199E+002	7.29799E+002	1.60090E+000	1.23337E-001	6.91700E-001	9.60000E-011	1.19400E-010	1.34700E-007
191	17	15	1	1.28000E-002	-2.00000E-004	-8.00000E-004	8.52000E-008	5.00000E-010	3.07600E-007	3.34860E+000	7.21188E+002	7.22608E+002	1.42030E+000	1.23641E-001	6.91600E-001	2.85600E-010	3.95700E-010	1.44500E-007
195	15	15	1	1.28000E-002	-1.00000E-004	-8.00000E-004	8.43000E-008	3.00000E-010	2.80300E-007	3.34260E+000	7.26214E+002	7.27830E+002	1.61660E+000	1.23510E-001	6.91700E-001	7.26000E-011	1.94300E-010	1.36100E-007
199	13	15	1	1.28000E-002	-1.00000E-004	-7.00000E-004	8.18000E-008	5.00000E-010	3.09100E-007	3.35870E+000	7.36580E+002	7.38194E+002	1.61370E+000	1.23059E-001	6.91300E-001	1.68600E-010	1.05400E-010	1.53800E-007
203	11	15	1	1.28000E-002	-3.00000E-004	-7.00000E-004	7.48000E-008	4.00000E-010	4.70900E-007	3.36480E+000	7.43025E+002	7.44527E+002	1.50160E+000	1.28751E-001	6.92500E-001	2.41200E-010	3.16100E-010	2.22500E-007
207	9	15	1	1.28000E-002	-2.00000E-004	-7.00000E-004	6.44000E-008	6.00000E-010	4.87700E-007	3.34490E+000	7.44767E+002	7.46208E+002	1.44100E+000	1.29854E-001	6.92000E-001	1.38100E-010	2.76300E-010	2.29200E-007
211	7	15	1	1.28000E-002	-2.00000E-004	-8.00000E-004	4.91000E-008	4.00000E-010	3.29700E-007	3.38720E+000	7.41654E+002	7.43222E+002	1.56770E+000	1.26524E-001	6.91200E-001	1.63900E-010	2.52900E-010	1.62500E-007
215	5	15	1	1.28000E-002	-2.00000E-004	-7.00000E-004	1.47000E-008	3.20000E-009	3.17700E-007	3.48100E+000	7.21588E+002	7.24574E+002	2.98540E+000	1.27831E-001	6.92900E-001	2.71600E-010	3.84000E-010	1.52500E-007
219	6	17	1	1.28000E-002	-3.00000E-004	-8.00000E-004	2.24000E-008	4.00000E-010	2.84100E-007	3.43830E+000	7.30410E+002	7.32147E+002	1.73660E+000	1.25024E-001	6.92000E-001	2.52900E-010	3.74600E-010	1.42500E-007
223	8	17	1	1.28000E-002	-2.00000E-004	-7.00000E-004	5.35000E-008	3.00000E-010	2.69600E-007	3.40070E+000	7.45059E+002	7.46447E+002	1.38850E+000	1.26963E-001	6.92400E-001	4.21000E-011	2.78600E-010	1.32800E-007
227	10	17	1	1.27000E-002	-2.00000E-004	-7.00000E-004	6.59000E-008	4.00000E-010	3.95000E-007	3.34490E+000	7.47330E+002	7.48977E+002	1.64640E+000	1.29107E-001	6.91300E-001	2.03700E-010	1.10000E-010	1.96000E-007
231	12	17	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.53000E-008	4.00000E-010	4.17300E-007	3.36400E+000	7.43899E+002	7.45449E+002	1.55030E+000	1.28112E-001	6.91700E-001	4.68000E-011	1.54500E-010	1.98600E-007
235	14	17	1	1.28000E-002	-2.00000E-004	-8.00000E-004	8.22000E-008	5.00000E-010	3.73200E-007	3.36620E+000	7.40031E+002	7.41753E+002	1.72110E+000	1.25419E-001	6.91200E-001	2.55200E-010	1.07700E-010	1.81900E-007
239	16	17	1	1.28000E-002	-2.00000E-004	-8.00000E-004	8.41000E-008	5.00000E-010	2.98100E-007	3.36510E+000	7.34407E+002	7.36421E+002	2.01450E+000	1.24164E-001	6.91400E-001	6.56000E-011	4.82300E-010	1.48100E-007
243	18	17	1	1.28000E-002	-2.00000E-004	-7.00000E-004	8.28000E-008	4.00000E-010	3.27500E-007	3.35340E+000	7.35901E+002	7.37825E+002	1.92400E+000	1.23714E-001	6.91300E-001	1.52200E-010	2.66900E-010	1.61400E-007
247	20	17	1	1.28000E-002	-1.00000E-004	-8.00000E-004	8.01000E-008	4.00000E-010	4.36600E-007	3.36250E+000	7.40071E+002	7.42228E+002	2.15640E+000	1.26008E-001	6.91700E-001	4.21000E-011	1.17000E-011	2.08600E-007
251	22	17	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.12000E-008	5.00000E-010	4.31700E-007	3.37230E+000	7.46349E+002	7.48118E+002	1.76930E+000	1.28005E-001	6.92600E-001	1.10000E-010	1.64000E-011	2.08700E-007
255	24	17	1	1.28000E-002	-2.00000E-004	-7.00000E-004	5.96000E-008	6.00000E-010	4.66600E-007	3.37580E+000	7.46593E+002	7.47985E+002	1.39240E+000	1.29155E-001	6.92900E-001	1.64000E-011	3.98000E-010	2.23900E-007
259	26	17	1	1.27000E-002	-2.00000E-004	-7.00000E-004	4.49000E-008	5.00000E-010	3.91200E-007	3.36660E+000	7.41456E+002	7.43452E+002	1.99620E+000	1.25730E-001	6.91600E-001	2.92700E-010	1.59200E-010	1.93500E-007
263	25	19	1	1.28000E-002	-2.00000E-004	-8.00000E-004	5.02000E-008	5.00000E-010	2.91800E-007	3.39930E+000	7.36163E+002	7.37870E+002	1.70710E+000	1.24513E-001	6.91600E-001	2.30000E-012	2.95000E-010	1.46600E-007
267	23	19	1	1.27000E-002	-2.00000E-004	-7.00000E-004	5.72000E-008	4.00000E-010	4.06400E-007	3.35770E+000	7.45337E+002	7.47674E+002	2.33700E+000	1.29348E-001	6.91900E-001	7.00000E-012	3.37100E-010	1.99300E-007
271	21	19	1	1.28000E-002	-2.00000E-004	-7.00000E-004	6.64000E-008	3.00000E-010	4.85300E-007	3.34120E+000	7.44702E+002	7.46685E+002	1.98330E+000	1.29267E-001	6.92200E-001	1.64000E-011	1.85000E-010	2.28800E-007
275	19	19	1	1.28000E-002	-2.00000E-004	-7.00000E-004	7.55000E-008	4.00000E-010	4.87500E-007	3.35780E+000	7.41980E+002	7.44248E+002	2.26760E+000	1.28533E-001	6.92500E-001	8.19000E-011	1.35800E-010	2.30100E-007
279	17	19	1	1.28000E-002	-2.00000E-004	-8.00000E-004	7.82000E-008	3.00000E-010	4.49600E-007	3.36110E+000	7.42767E+002	7.44895E+002	2.12800E+000	1.27300E-001	6.93000E-001	1.68600E-010	2.34100E-010	2.12200E-007
283	15	19	1	1.29000E-002	-2.00000E-004	-8.00000E-004	7.57000E-008	5.00000E-010	4.72500E-007	3.35590E+000	7.42363E+002	7.44680E+002	2.31730E+000	1.28533E-001	6.92600E-001	1.92000E-010	3.28000E-011	2.22600E-007
287	13	19	1	1.27000E-002	-2.00000E-004	-7.00000E-004	7.08000E-008	8.00000E-010	4.23200E-007	3.33130E+000	7.42430E+002	7.44851E+002	2.42070E+000	1.29053E-001	6.91400E-001	3.18400E-010	1.19400E-010	2.04200E-007
291	11	19	1	1.27000E-002	-2.00000E-004	-7.00000E-004	6.36000E-008	4.00000E-010	3.00400E-007	3.36170E+000	7.45924E+002	7.48318E+002	2.39320E+000	1.28604E-001	6.91700E-001	5.85000E-011	2.97300E-010	1.52600E-007
295	9	19	1	1.28000E-002	-2.00000E-004	-7.00000E-004	5.37000E-008	4.00000E-010	2.04500E-007	3.41880E+000	7.41492E+002	7.43102E+002	1.60960E+000	1.25423E-001	6.92800E-001	9.60000E-011	2.95000E-010	1.09900E-007
299	7	19	1	1.28000E-002	-3.00000E-004	-7.00000E-004	2.06000E-008	4.00000E-010	2.66600E-007	3.45090E+000	7.29148E+002	7.31290E+002	2.14260E+000	1.25022E-001	6.92100E-001	2.30000E-012	1.94300E-010	1.33700E-007
305	10	21	1	1.28000E-002	-2.00000E-004	-7.00000E-004	3.25000E-008	4.00000E-010	3.77700E-007	3.44570E+000	7.04173E+002	7.28099E+002	2.39266E+001	1.23762E-001	6.92700E-001	1.56900E-010	5.85000E-011	1.38100E-007
309	12	21	1	1.29000E-002	-2.00000E-004	-7.00000E-004	5.50000E-008	7.00000E-010	2.25100E-007	3.41270E+000	7.41446E+002	7.42962E+002	1.51680E+000	1.23406E-001	6.92800E-001	1.17000E-011	5.62000E-011	1.20500E-007
313	14	21	1	1.27000E-002	-2.00000E-004	-7.00000E-004	5.91000E-008	6.00000E-010	2.84300E-007	3.39330E+000	7.45618E+002	7.47968E+002	2.35000E+000	1.27914E-001	6.91800E-001	1.26400E-010	1.42800E-010	1.46800E-007
317	16	21	1	1.28000E-002	-2.00000E-004	-7.00000E-004	5.65000E-008	6.00000E-010	3.22600E-007	3.37700E+000	7.46665E+002	7.49172E+002	2.50640E+000	1.26387E-001	6.91600E-001	1.75600E-010	3.04400E-010	1.63700E-007
321	18	21	1	1.27000E-002	-3.00000E-004	-7.00000E-004	5.92000E-008	4.00000E-010	3.55800E-007	3.37750E+000	7.43716E+002	7.46146E+002	2.43060E+000	1.27000E-001	6.91700E-001	7.49000E-011	2.95000E-010	1.75500E-007
325	20	21	1	1.29000E-002	-2.00000E-004	-7.00000E-004	5.56000E-008	4.00000E-010	3.16400E-007	3.39320E+000	7.45298E+002	7.47361E+002	2.06310E+000	1.27465E-001	6.91600E-001	2.10700E-010	2.90300E-010	1.61600E-007
329	22	21	1	1.27000E-002	-3.00000E-004	-7.00000E-004	4.88000E-008	6.00000E-010	2.75600E-007	3.40600E+000	7.38702E+002	7.40337E+002	1.63410E+000	1.24506E-001	6.91900E-001	4.68000E-011	1.40000E-011	1.42700E-007
337	18	23	1	1.30000E-002	-2.00000E-004	-8.00000E-004	2.87000E-008	5.00000E-010	2.88400E-007	3.45880E+000	7.26660E+002	7.29035E+002	2.37450E+000	1.24161E-001	6.92200E-001	8.19000E-011	2.13100E-010	1.42600E-007
340	16	23	1	1.27000E-002	-2.00000E-004	-7.00000E-004	2.86000E-008	5.00000E-010	2.78400E-007	3.45920E+000	7.26178E+002	7.28594E+002	2.41580E+000	1.24438E-001	6.92300E-001	1.05400E-010	1.21700E-010	1.39000E-007

2	14	5	1	1.03000E-002	-2.80000E-003	-3.20000E-003	1.99000E-008	1.00000E-010	3.21900E-007	3.46280E+000	7.26880E+002	7.29189E+002	2.30890E+000	1.26707E-001	6.93800E-001	2.43500E-010	5.03400E-010	1.57900E-007
4	16	5	1	1.02000E-002	-2.80000E-003	-3.30000E-003	2.85000E-008	1.00000E-010	3.27600E-007	3.44750E+000	7.27854E+002	7.30155E+002	2.30160E+000	1.25954E-001	6.93500E-001	1.54500E-010	2.99700E-010	1.64300E-007
6	18	5	1	1.02000E-002	-2.80000E-003	-3.20000E-003	2.85000E-008	1.00000E-010	3.27500E-007	3.46310E+000	7.27485E+002	7.29813E+002	2.32830E+000	1.26371E-001	6.93700E-001	4.12100E-010	5.69000E-010	1.64300E-007
8	20	5	1	1.01000E-002	-2.80000E-003	-3.20000E-003	1.99000E-008	1.00000E-010	3.37300E-007	3.46950E+000	7.25289E+002	7.27494E+002	2.20480E+000	1.27206E-001	6.93400E-001	3.60600E-010	4.98800E-010	1.63500E-007
11	24	7	1	1.24000E-002	-2.80000E-003	-3.20000E-003	2.40000E-008	4.00000E-010	3.06600E-007	3.45950E+000	7.28318E+002	7.30688E+002	2.37030E+000	1.25533E-001	6.93800E-001	2.34000E-011	1.40000E-011	1.55700E-007
15	22	7	1	1.29000E-002	-2.70000E-003	-3.10000E-003	5.04000E-008	6.00000E-010	3.28400E-007	3.40720E+000	7.37999E+002	7.39755E+002	1.75600E+000	1.25073E-001	6.93500E-001	1.47500E-010	2.22500E-010	1.65500E-007
19	20	7	1	1.28000E-002	-2.70000E-003	-3.10000E-003	5.81000E-008	5.00000E-010	3.54300E-007	3.41280E+000	7.43884E+002	7.46291E+002	2.40640E+000	1.27848E-001	6.93800E-001	1.99000E-010	1.28800E-010	1.76700E-007
23	18	7	1	1.27000E-002	-2.70000E-003	-3.20000E-003	6.52000E-008	1.00000E-010	3.84700E-007	3.41110E+000	7.44221E+002	7.46564E+002	2.34280E+000	1.29133E-001	6.93900E-001	2.81000E-011	1.49900E-010	1.90000E-007
27	16	7	1	1.28000E-002	-2.70000E-003	-3.10000E-003	6.31000E-008	4.00000E-010	3.64300E-007	3.41300E+000	7.41384E+002	7.43887E+002	2.50280E+000	1.28976E-001	6.94800E-001	2.17800E-010	4.68000E-011	1.77000E-007
31	14	7	1	1.28000E-002	-2.60000E-003	-3.10000E-003	5.59000E-008	4.00000E-010	3.54900E-007	3.40850E+000	7.43964E+002	7.46399E+002	2.43480E+000	1.28481E-001	6.94300E-001	3.55900E-010	1.05400E-010	1.78100E-007
35	12	7	1	1.28000E-002	-2.70000E-003	-3.20000E-003	5.05000E-008	2.00000E-010	3.07200E-007	3.42480E+000	7.39391E+002	7.41194E+002	1.80300E+000	1.25739E-001	6.94100E-001	1.38200E-010	1.66300E-010	1.55300E-007
38	10	7	1	1.33000E-002	-2.70000E-003	-3.20000E-003	2.59000E-008	3.00000E-010	3.11500E-007	3.44400E+000	7.29576E+002	7.31913E+002	2.33760E+000	1.24943E-001	6.93800E-001	8.20000E-011	3.41900E-010	1.53900E-007
41	8	9	1	1.32000E-002	-2.70000E-003	-3.20000E-003	3.24000E-008	4.00000E-010	3.79600E-007	3.39680E+000	7.32361E+002	7.34340E+002	1.97860E+000	1.25259E-001	6.93300E-001	2.24800E-010	4.37900E-010	1.85300E-007
45	10	9	1	1.28000E-002	-2.70000E-003	-3.10000E-003	4.99000E-008	4.00000E-010	3.89700E-007	3.38880E+000	7.45371E+002	7.47478E+002	2.10650E+000	1.27645E-001	6.94000E-001	1.00700E-010	3.77000E-010	1.93200E-007
49	12	9	1	1.27000E-002	-2.70000E-003	-3.20000E-003	6.04000E-008	2.00000E-010	4.26700E-007	3.38110E+000	7.45899E+002	7.47914E+002	2.01430E+000	1.29374E-001	6.94400E-001	1.35800E-010	1.59200E-010	2.05700E-007
53	14	9	1	1.27000E-002	-2.70000E-003	-3.10000E-003	7.07000E-008	2.00000E-010	4.26200E-007	3.37600E+000	7.44870E+002	7.47534E+002	2.66380E+000	1.28653E-001	6.94500E-001	6.32000E-011	1.38200E-010	2.04300E-007
57	16	9	1	1.28000E-002	-2.70000E-003	-3.10000E-003	7.59000E-008	5.00000E-010	3.82200E-007	3.38080E+000	7.43376E+002	7.45871E+002	2.49500E+000	1.28148E-001	6.94200E-001	1.12400E-010	7.73000E-011	1.88100E-007
61	18	9	1	1.28000E-002	-2.70000E-003	-3.20000E-003	7.73000E-008	3.00000E-010	4.00600E-007	3.38240E+000	7.44181E+002	7.46628E+002	2.44700E+000	1.28178E-001	6.94400E-001	3.30200E-010	1.40500E-010	1.94800E-007
65	20	9	1	1.27000E-002	-2.70000E-003	-3.10000E-003	7.35000E-008	4.00000E-010	4.25800E-007	3.38380E+000	7.43091E+002	7.45607E+002	2.51550E+000	1.29040E-001	6.95000E-001	1.92000E-010	4.16800E-010	2.03900E-007
69	22	9	1	1.28000E-002	-2.70000E-003	-3.20000E-003	6.38000E-008	4.00000E-010	4.26000E-007	3.38800E+000	7.47206E+002	7.49371E+002	2.16480E+000	1.29268E-001	6.94400E-001	2.38800E-010	1.85000E-010	2.06500E-007
73	24	9	1	1.28000E-002	-2.60000E-003	-3.10000E-003	5.11000E-008	5.00000E-010	3.28700E-007	3.40020E+000	7.45933E+002	7.47757E+002	1.82390E+000	1.26873E-001	6.93700E-001	6.09000E-011	3.18500E-010	1.67100E-007
76	26	9	1	1.25000E-002	-2.80000E-003	-3.20000E-003	2.76000E-008	4.00000E-010	3.00300E-007	3.43820E+000	7.30379E+002	7.32318E+002	1.93890E+000	1.25417E-001	6.93700E-001	2.34000E-011	3.51200E-010	1.53200E-007
80	27	11	1	1.27000E-002	-2.60000E-003	-3.20000E-003	3.78000E-008	4.00000E-010	3.82400E-007	3.39870E+000	7.31254E+002	7.32741E+002	1.48740E+000	1.25112E-001	6.92700E-001	1.47500E-010	5.62000E-011	1.84700E-007
84	25	11	1	1.27000E-002	-2.70000E-003	-3.10000E-003	5.65000E-008	3.00000E-010	4.54400E-007	3.36850E+000	7.46900E+002	7.48463E+002	1.56230E+000	1.28091E-001	6.94500E-001	1.10100E-010	7.02000E-011	2.23000E-007
88	23	11	1	1.28000E-002	-2.70000E-003	-3.10000E-003	7.10000E-008	4.00000E-010	4.90500E-007	3.37300E+000	7.45008E+002	7.47453E+002	2.44420E+000	1.28604E-001	6.95300E-001	1.68600E-010	9.83000E-011	2.33200E-007
92	21	11	1	1.28000E-002	-2.60000E-003	-3.20000E-003	8.04000E-008	4.00000E-010	4.14900E-007	3.35160E+000	7.44151E+002	7.45887E+002	1.73510E+000	1.27109E-001	6.93900E-001	1.89700E-010	1.19400E-010	2.03000E-007
96	19	11	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.24000E-008	4.00000E-010	2.82400E-007	3.38740E+000	7.39205E+002	7.41440E+002	2.23510E+000	1.24633E-001	6.94100E-001	2.78700E-010	2.27100E-010	1.44300E-007
100	17	11	1	1.28000E-002	-2.70000E-003	-3.20000E-003	8.50000E-008	4.00000E-010	2.39800E-007	3.37950E+000	7.35367E+002	7.37415E+002	2.04760E+000	1.23183E-001	6.94600E-001	1.49900E-010	3.34900E-010	1.23800E-007
104	15	11	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.18000E-008	3.00000E-010	2.68900E-007	3.38050E+000	7.36304E+002	7.38487E+002	2.18310E+000	1.24631E-001	6.94400E-001	9.83000E-011	1.63900E-010	1.36700E-007
108	13	11	1	1.28000E-002	-2.60000E-003	-3.10000E-003	7.72000E-008	5.00000E-010	3.63800E-007	3.36290E+000	7.40835E+002	7.43223E+002	2.38810E+000	1.26822E-001	6.93700E-001	7.73000E-011	1.31100E-010	1.78900E-007
112	11	11	1	1.27000E-002	-2.70000E-003	-3.10000E-003	6.87000E-008	2.00000E-010	4.82100E-007	3.35340E+000	7.44021E+002	7.45974E+002	1.95330E+000	1.28562E-001	6.94800E-001	4.21000E-011	2.74000E-010	2.29800E-007
116	9	11	1	1.27000E-002	-2.60000E-003	-3.10000E-003	5.64000E-008	3.00000E-010	4.89600E-007	3.35380E+000	7.43298E+002	7.45426E+002	2.12840E+000	1.28476E-001	6.94600E-001	2.06100E-010	9.83000E-011	2.32700E-007
120	7	11	1	1.28000E-002	-2.70000E-003	-3.20000E-003	4.25000E-008	4.00000E-010	3.83400E-007	3.37610E+000	7.34504E+002	7.35957E+002	1.45360E+000	1.25195E-001	6.93200E-001	3.28000E-011	3.67600E-010	1.85100E-007
124	6	13	1	1.28000E-002	-2.70000E-003	-3.10000E-003	3.19000E-008	2.00000E-010	3.46500E-007	3.41400E+000	7.33038E+002	7.34347E+002	1.30820E+000	1.24809E-001	6.93300E-001	1.47500E-010	7.00000E-012	1.66700E-007
128	8	13	1	1.27000E-002	-2.70000E-003	-3.10000E-003	5.68000E-008	6.00000E-010	4.38600E-007	3.36320E+000	7.45709E+002	7.47251E+002	1.54190E+000	1.29012E-001	6.94400E-001	9.40000E-012	1.75600E-010	2.12700E-007
132	10	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	6.74000E-008	4.00000E-010	4.86400E-007	3.36350E+000	7.45546E+002	7.47167E+002	1.62160E+000	1.28697E-001	6.95300E-001	2.64600E-010	1.70900E-010	2.29600E-007
136	12	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	7.74000E-008	4.00000E-010	3.82400E-007	3.35220E+000	7.40997E+002	7.42494E+002	1.49660E+000	1.25857E-001	6.93900E-001	2.41200E-010	3.37200E-010	1.85600E-007
140	14	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.26000E-008	3.00000E-010	2.45300E-007	3.35690E+000	7.30776E+002	7.32568E+002	1.79180E+000	1.23063E-001	6.94500E-001	9.13000E-011	6.09000E-011	1.23600E-007
144	16	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.12000E-008	5.00000E-010	2.45000E-007	3.37420E+000	7.22635E+002	7.25142E+002	2.50730E+000	1.22723E-001	6.95500E-001	5.85000E-011	9.83000E-011	1.18400E-007
148	18	13	1	1.28000E-002	-2.60000E-003	-3.20000E-003	8.53000E-008	3.00000E-010	2.58900E-007	3.36910E+000	7.21386E+002	7.23950E+002	2.56330E+000	1.23305E-001	6.95000E-001	1.26400E-010	2.17800E-010	1.24600E-007
152	20	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.32000E-008	4.00000E-010	2.55400E-007	3.34830E+000	7.34748E+002	7.36208E+002	1.45940E+000	1.23453E-001	6.94100E-001	9.40000E-012	3.72300E-010	1.29500E-007
156	22	13	1	1.28000E-002	-2.60000E-003	-3.10000E-003	7.90000E-008	2.00000E-010	4.58200E-007	3.36970E+000	7.43519E+002	7.45125E+002	1.60650E+000	1.26968E-001	6.94200E-001	4.21000E-011	3.04000E-011	2.19900E-007
160	24	13	1	1.29000E-002	-2.70000E-003	-3.10000E-003	6.71000E-008	5.00000E-010	4.95200E-007	3.38050E+000	7.47084E+002	7.48542E+002	1.45870E+000	1.29337E-001	6.95100E-001	1.56900E-010	3.11400E-010	2.36700E-007
164	26	13	1	1.27000E-002	-2.70000E-003	-3.10000E-003	5.13000E-008	5.00000E-010	4.28800E-007	3.37030E+000	7.47745E+002	7.49261E+002	1.51590E+000	1.28168E-001	6.94600E-001	1.40000E-011	3.06800E-010	2.13500E-007
168	28	13	1	1.27000E-002	-2.70000E-003	-3.10000E-003	2.69000E-008	2.00000E-010	3.59800E-007	3.42800E+000	7.29740E+002	7.31098E+002	1.35800E+000	1.25368E-001	6.93000E-001	1.12400E-010	1.31100E-010	1.74700E-007
172	28	15	1	1.28000E-002	-2.70000E-003	-3.10000E-003	2.69000E-008	5.00000E-010	3.85600E-007	3.41960E+000	7.30013E+002	7.31371E+002	1.35790E+000	1.24994E-001	6.92800E-001	1.10100E-010	2.01400E-010	1.87600E-007
176	26	15	1	1.28000E-002	-2.60000E-003	-3.10000E-003	5.23000E-008	5.00000E-010	4.38300E-007	3.37160E+000	7.48435E+002	7.49997E+002	1.56190E+000	1.27793E-001	6.94700E-001	1.52200E-010	2.34200E-010	2.17000E-007
180	24	15	1	1.28000E-002	-2.70000E-003	-3.10000E-003	6.68000E-008	4.00000E-010	5.04100E-007	3.37450E+000	7.47473E+002	7.48921E+002	1.44870E+000	1.29227E-001	6.95300E-001	9.60000E-011	2.58000E-011	2.39800E-007
184	22	15	1	1.28000E-002	-2.60000E-003	-3.20000E-003	7.69000E-008	4.00000E-010	4.63700E-007	3.36980E+000	7.44577E+002	7.46050E+002	1.47300E+000	1.26665E-001	6.94300E-001	1.99000E-010	2.31800E-010	2.25800E-007
188	20	15	1	1.27000E-002	-2.60000E-003	-3.10000E-003	8.16000E-008	6.00000E-010	2.67500E-007	3.35580E+000	7.33643E+002	7.35043E+002	1.40050E+000	1.22607E-001	6.93800E-001	1.63900E-010	9.83000E-011	1.35000E-007
192	18	15	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.38000E-008	4.00000E-010	2.48700E-007	3.37740E+000	7.21997E+002	7.23634E+002	1.63670E+000	1.22673E-001	6.95700E-001	3.20800E-010	3.11400E-010	1.19600E-007
196	16	15	1	1.28000E-002	-2.60000E-003	-3.20000E-003	8.34000E-008	3.00000E-010	2.54500E-007	3.36940E+000	7.21930E+002	7.23809E+002	1.87920E+000	1.22382E-001	6.95500E-001	6.09000E-011	1.92000E-010	1.21100E-007
200	14	15	1	1.28000E-002	-2.60000E-003	-3.10000E-003	8.26000E-008	5.00000E-010	2.48100E-007	3.36210E+000	7.31438E+002	7.33063E+002	1.62490E+000	1.22082E-001	6.94300E-001	2.78700E-010	1.54500E-010	1.24900E-007
204	12	15	1	1.28000E-002	-2.60000E-003	-3.10000E-003	7.99000E-008	3.00000E-010	4.09700E-007	3.36640E+000	7.40841E+002	7.42363E+002	1.52210E+000	1.26245E-001	6.94200E-001	3.44200E-010	2.36500E-010	1.97100E-007
208	10	15	1	1.28000E-002	-2.60000E-003	-3.20000E-003	6.97000E-008	6.00000E-010	4.90700E-007	3.36170E+000	7.44035E+002	7.45556E+002	1.52110E+000	1.28955E-001	6.94900E-001	6.79000E-011	1.89700E-010	2.31800E-007
212	8	15	1	1.28000E-002	-2.60000E-003	-3.20000E-003	5.77000E-008	4.00000E-010	3.81800E-007	3.36310E+000	7.45350E+002	7.46915E+002	1.56570E+000	1.28939E-001	6.93400E-001	1.87000E-011	3.25500E-010	1.88400E-007
216	6	15	1	1.28000E-002	-2.60000E-003	-3.10000E-003	3.34000E-008	6.00000E-010	2.97600E-007	3.42880E+000	7.32629E+002	7.33945E+002	1.31560E+000	1.24367E-001	6.94000E-001	3.25500E-010	3.51200E-010	1.47800E-007
220	7	17	1	1.28000E-002	-2.60000E-003	-3.10000E-003	5.05000E-008	4.00000E-010	2.49900E-007	3.40800E+000	7.34887E+002	7.36470E+002	1.58320E+000	1.24510E-001	6.94500E-001	2.48200E-010	3.91000E-010	1.27200E-007
